0 |@positive рынок:1 отторгнуть:2 можно:1 использовать:1 отметить:1 |@negative предприятие:1 надо:1 пытаться:1 положение:1
1 |@positive права:1 время:1 деньги:1 нет:1 охрана:1 заезжать:1 отказаться:1 пояснять:1 охранять:1 шахта:1 писать:1 корреспондент:1 платить:1 думить:1 предприятие:1 и:1 нять:1 жертва:1 Ринат:1 бригада:1 право:1 быть:1 ребята:1 кормить:1 выплачивать:1 администрация:1 расстроиться:1 |@negative гривный:1 вопрос:1 объявление:1 видеть:1 юморист:1 актив:1 дом:1 иметь:1 получать:1 день:1 налог:1 нет:1 собственник:1 авария:1 территория:1 предприятие:2 сообщить:1 Красногоровка:1 дочка:1 банк:1 подходить:1 работать:1 выплата:1 орган:1 вечер:1 быть:3 главное:1 радикал:1 говорить:1 количество:1 соцстрах:1 юрисдикция:1 республика:1 объявить:1 Дмитрий:1 шахта:1 идти:1
2 |@positive речь:1 координировать:1 мочь:1 создание:1 компания:1 принести:1 сила:1 энергохолдинг:1 очевидный:1 необходимый:1 согласовывать:1 проходить:1 бизнесмен:1 Менеджмент:1 выступать:1 передавать:1 |@negative власть:1 бывший:1 находеться:1 напомнить:1 глава:1 мстить:1 действие:1 интересный:1 зайти:1 говорить:1 представитель:1 лидер:1 проходить:1 стать:1 включая:1 создать:1 игрок:1 национализировать:1 территория:1 хотеть:1 бизнесмен:1
3 |@positive поселок:1 находиться:1 оказаться:1 пункт:1 житель:1 оружие:1 страна:1 дать:1 располагаоться:1 |@negative открыть:1 обстрелять:1 обстреливать:3 жестко:1 страдать:1 подпортить:1 контролировать:1 корректировка:1 длиться:1 вести:1 решить:1 предприятие:1 причина:1 выпустить:1 армия:1 огонь:1
4 |@positive погибнуть:1 отторгнуть:2 можно:1 красть:1 |@negative положение:1 хороший:1 сравнивать:1 Аргумент:1 надо:1
5 |@positive боевик:1 Днр:1 удалять:1 |@negative удаться:1 заявить:1 удаить:1 оператор:1 активист:1 захват:1 завод:1 ввести:1 территорий:1 управление:1 главаре:1 можно:1 предприятие:4 национализация:1 территория:2 остаться:1 опубликовать:1 организация:3
6 |@positive речь:1 координировать:1 мочь:1 создание:1 компания:1 принести:1 сила:1 энергохолдинг:1 очевидный:1 необходимый:1 согласовывать:1 проходить:1 бизнесмен:1 Менеджмент:1 выступать:1 передавать:1 |@negative власть:1 бывший:1 находеться:1 бизнесмен:1 глава:1 мстить:1 действие:1 интересный:1 лидер:1 писать:1 говорить:1 представитель:1 следовать:1 проходить:1 стать:1 включая:1 создать:1 игрок:1 национализировать:1 территория:1 хотеть:1
7 |@positive признание:1 Федерация:1 выдать:1 противоречить:1 дело:1 проживать:1 |@negative признание:1 заявить:1 сказать:1 гражданин:1 считать:1 подписать:1 эскалация:1 документ:1
8 |@positive оплата:1 заставить:1 платить:1 рассказать:1 предприятие:1 суверенный:1 |@negative миллиард:2 заявить:1 юрисдикция:1 сказать:1 слово:1 перерегистрация:1 Читаять:1 давление:1 законодательство:1 бюджет:1 миллион:2
9 |@positive видеть:2 пространство:1 заявлять:1 производство:1 поставка:1 обеспокоенность:1 ставить:1 цель:1 процесс:1 производитель:1 предприятие:3 дело:1 считать:1 рынок:1 иметь:1 работа:1 опыт:1 решение:1 начать:1 Федерация:1 сайт:1 командевать:1 блокировать:1 отторгнуть:2 обсуждать:1 федерация:1 сторона:2 экономия:1 завод:1 думать:1 |@negative стесненный:1 выразить:1 заявить:1 сотрудничать:1 нет:1 назать:1 привести:1 преодолеть:1 проблема:2 ближний:1 снижение:1 надо:1 тяжелый:1 глубокий:1 сообщение:1 мнение:2 называть:2 оказать:1 подчеркнуть:1 вызывать:1 сторона:1 помощь:1 предприятие:2 выпустять:1 рынок:2 иметь:2 работа:1 участник:1 принимавать:1 отношение:1 штаб:1 катастрофа:1 располагать:1 решить:1 готовый:1 день:1 завершиться:1 говорить:1 промышленность:1 сожаление:1 бизнесмен:1 юрисдикция:4 республика:1 задача:1 являться:1 обвинять:1 положение:2 вынудить:1 вечер:2 начать:1 мера:1
10 |@positive расширяться:1 наладить:1 требовать:1 экс-министр:2 ТВЭЛ:1 что:2 отправляться:1 пост:1 |@negative открыть:1 мочь:1 топливо:1 расценить:1 работать:1 прийтись:1 положение:3 электростанция:2 освобождение:1 предприятие:1 территория:1 река:1 блокировка:3 жестко:1 торговля:2
